id;ref:FR:sncf:resarail;UIC;railway:ref;name;ref:FR:uic8
170;FRCNE;8729615;CYU;Crépy - Couvron;87296152
171;FRBSY;8729624;BSY;Busigny;87296244
172;FRCNL;8729629;FEG;Fresnoy-le-Grand;87296293
173;FRCNK;8729626;BHI;Bohain;87296269
177;FRTGR;8729644;TGR;Tergnier;87296442
178;FRCNW;8729645;APP;Appilly;87296459
179;FRMNS;8729643;MKI;Mennessis;87296434
180;FRCNV;8729641;MCU;Montescourt;87296418
181;FRGAG;8764141;CMY;Commentry;87641415
182;FRVOL;8764142;VOL;Volvic;87641423
183;FRGAI;8764144;DUR;Durtol - Nohanent;87641449
186;FRFZS;8764121;HIL;Huriel;87641217
187;FRGAD;8764137;TIS;Les Trillers;87641373
188;FRFZZ;8764131;PGB;Pontgibaud;87641316
189;FRGAB;8764135;VLL;Vallon-en-Sully;87641357
190;FRGAC;8764136;MGR;Magnette;87641365
191;FRESC;8754730;MDS;Musée d'Orsay;87547307
192;FRPMO;8739100;PMP;Paris Montparnasse Hall 1 & 2;87391003
193;FRESD;8754731;SHL;Saint-Michel Notre-Dame;87547315
194;FRMPV;8739110;PVA;Paris Montparnasse Vaugirard;87391102
195;FRFZB;8764104;LPY;Lapeyrouse;87641043
196;FRFZC;8764105;LXB;Louroux-de-Bouble;87641050
197;FRFZD;8764106;BLE;Bellenaves;87641068
198;FRFZE;8764107;SBD;Saint-Bonnet-de-Rochefort;87641076
200;FRMCU;8764100;ML;Montluçon;87641001
201;FRMSE;8740132;MUU;Mouans-Sartoux;87401323
202;FRMRE;8739130;MOE;Morre;87391300
204;FRFZQ;8764119;GOZ;La Ville Gozet;87641191
205;FRDHR;8739153;VMK;Vanves - Malakoff;87391532
206;FRDHS;8739156;CMA;Clamart;87391565
207;FRCOI;8729705;VWN;Viry-Noureuil;87297051
208;FRCOK;8729708;WBT;La Bouteille;87297085
209;FRCON;8729711;VRL;Verneuil-sur-Serre;87297119
210;FRCOQ;8729714;DER;Dercy - Froidmont;87297143
211;FRCOS;8729715;VYS;Voyenne;87297150
213;FRCPE;8729728;VXL;Vauxaillon;87297283
214;FRCPF;8729729;BJB;Barenton-Bugny;87297291
215;FRCPK;8729752;HAC;Hachette;87297523
216;FRCPL;8729753;XHI;Saint-Hilaire;87297531
217;FRCPJ;8729751;BJP;Les Bons Pères;87297515
218;FRESB;8754702;PZB;Paris Austerlitz RER;87547026
219;FRPAZ;8754700;PAZ;Paris Austerlitz;87547000
220;FRBIU;8740229;OLM;Colmar Mésanges;87402297
221;FRDIW;8739340;FAF;Fontenay-le-Fleury;87393405
222;FRDIX;8739341;VEP;Villepreux - Les Clayes;87393413
223;FRDIY;8739342;PG;Plaisir - Grignon;87393421
224;FRDIZ;8739343;GAQ;Garancières - La Queue;87393439
225;FRDJA;8739344;OGB;Orgerus - Béhoust;87393447
226;FRDJB;8739345;TAE;Tacoignières - Richebourg;87393454
227;FRDJC;8739346;HOA;Houdan;87393462
228;FRDJD;8739347;MBR;Marchezais - Broué;87393470
229;FRXDR;8739348;DX;Dreux;87393488
231;FRXRT;8739331;RBT;Rambouillet;87393314
232;FRJDP;8739332;BVI;Pont du Garigliano (Boulevard Victor);87393322
233;FRDIS;8739334;GZA;Gazeran;87393348
234;FRDIT;8739336;BYS;Beynes;87393363
235;FRDJN;8739360;BUT;Bourth;87393603
236;FRDJO;8739361;LJU;Longjumeau T12;87393611
237;FRDJP;8739362;PIE;Plaisir - Les Clayes;87393629
238;FRDJQ;8739363;CAZ;Chilly-Mazarin T12;87393637
239;FRDJR;8739364;GBI;Gravigny Balizy T12;87393645
240;FRDJS;8739365;PV;Petit Vaux T12;87393652
242;FRDJE;8739350;PJ;Petit Jouy - Les Loges;87393504
243;FRDJF;8739351;JAS;Jouy-en-Josas;87393512
244;FRDJG;8739352;SMK;Saint-Germain - Saint-Rémy;87393520
245;FRDJH;8739353;VBO;Vauboyen;87393538
246;FRDJI;8739354;BIS;Bièvres;87393546
247;FRDJJ;8739355;NCO;Nonancourt;87393553
248;FRDJK;8739356;IGY;Igny;87393561
249;FRMPU;8739357;MPU;Massy - Palaiseau;87393579
250;FRDJL;8739358;TLS;Tillières-sur-Avre;87393587
251;FRDJM;8739359;VEA;Verneuil-sur-Avre;87393595
252;FRPTS;8739383;TVO;Trappes;87393835
253;FRDJW;8739384;SQY;Saint-Quentin en Yvelines;87393843
254;FRDJX;8739387;NIO;;87393876
255;FRDJY;8739388;VEH;Villiers - Neauphle - Pontchartrain;87393884
256;FRDJZ;8739389;MLM;Montfort-l'Amaury - Méré;87393892
257;FRDJU;8739370;MPW;Massy TGV;87393702
258;FRDHT;8739300;VC;Versailles Chantiers;87393009
259;FRDHU;8739303;INV;Invalides;87393033
260;FRDHV;8739304;PDM;Pont de l'Alma;87393041
261;FRDHW;8739305;CPM;Champ de Mars Tour Eiffel;87393058
262;FRDHX;8739306;JVL;Javel;87393066
263;FRDHY;8739307;ISY;Issy;87393074
264;FRDHZ;8739308;MFY;Meudon Val Fleury;87393082
265;FRDIH;8739320;CVI;Chaville Rive Gauche;87393207
266;FRDII;8739321;VFG;Viroflay Rive Gauche;87393215
267;FRDIK;8739322;SCR;Saint-Cyr;87393223
269;FRDIM;8739325;VYL;La Verrière;87393256
270;FRDIO;8739327;CGW;Coignières;87393272
271;FRDIP;8739328;LSI;Les Essarts-le-Roi;87393280
272;FRDIQ;8739329;LPE;Le Perray;87393298
273;FRDIA;8739310;MDN;Meudon;87393108
274;FRDIB;8739311;BLU;Bellevue;87393116
275;FRDIC;8739312;SVR;Sèvres Rive Gauche;87393124
276;FRDID;8739315;VRG;Versailles Château Rive Gauche;87393157
277;FRDIF;8739316;POA;Porchefontaine;87393165
278;FRDIG;8739317;CHV;Chaville - Vélizy;87393173
279;FRSUF;8768888;MHV;Montpellier Sud de France;87688887
280;FRADV;8744808;BZN;Briouze;87448084
281;FRDUX;8744815;VIR;Vire;87448159
282;FRCLV;8720855;C99;Casino Lacroix Laval;87208553
283;FRFLS;8744800;FL;Flers;87448001
284;FRDVG;8744851;AVR;Avranches;87448514
